Vardas              Pavarde             Galutinis balas     
Vardas10118         Pavarde10118        1.64                
Vardas10119         Pavarde10119        4.88                
Vardas1012          Pavarde1012         4.68                
Vardas10121         Pavarde10121        3.88                
Vardas10122         Pavarde10122        3.32                
Vardas10124         Pavarde10124        2.08                
Vardas10125         Pavarde10125        3.4                 
Vardas10127         Pavarde10127        2                   
Vardas10129         Pavarde10129        4.84                
Vardas1013          Pavarde1013         4.64                
Vardas10130         Pavarde10130        1.8                 
Vardas10131         Pavarde10131        2.6                 
Vardas10138         Pavarde10138        2.44                
Vardas1014          Pavarde1014         4.6                 
Vardas10140         Pavarde10140        2.52                
Vardas10141         Pavarde10141        2.88                
Vardas10142         Pavarde10142        4.8                 
Vardas10146         Pavarde10146        4.6                 
Vardas10147         Pavarde10147        2.32                
Vardas10149         Pavarde10149        3.4                 
Vardas10154         Pavarde10154        3.4                 
Vardas10158         Pavarde10158        2.44                
Vardas10160         Pavarde10160        4.08                
Vardas10161         Pavarde10161        2.12                
Vardas10164         Pavarde10164        4.52                
Vardas10167         Pavarde10167        1.84                
Vardas10169         Pavarde10169        4.36                
Vardas1017          Pavarde1017         4.24                
Vardas10170         Pavarde10170        4.96                
Vardas10173         Pavarde10173        3.68                
Vardas10174         Pavarde10174        3.88                
Vardas10177         Pavarde10177        4.12                
Vardas10178         Pavarde10178        2.64                
Vardas10179         Pavarde10179        2.96                
Vardas1018          Pavarde1018         2.28                
Vardas10180         Pavarde10180        3.8                 
Vardas10181         Pavarde10181        4.32                
Vardas10182         Pavarde10182        3.12                
Vardas10185         Pavarde10185        4.6                 
Vardas10186         Pavarde10186        2.64                
Vardas10188         Pavarde10188        2.84                
Vardas10189         Pavarde10189        1.96                
Vardas10190         Pavarde10190        3.56                
Vardas10192         Pavarde10192        3.92                
Vardas10198         Pavarde10198        2.56                
Vardas10199         Pavarde10199        4.36                
Vardas1020          Pavarde1020         2.92                
Vardas10200         Pavarde10200        1.68                
Vardas10201         Pavarde10201        4.04                
Vardas10204         Pavarde10204        2.8                 
Vardas10205         Pavarde10205        2.2                 
Vardas10206         Pavarde10206        2.96                
Vardas10207         Pavarde10207        2.64                
Vardas10209         Pavarde10209        4.84                
Vardas10210         Pavarde10210        4.76                
Vardas10212         Pavarde10212        3.96                
Vardas10213         Pavarde10213        3.68                
Vardas10214         Pavarde10214        4.4                 
Vardas10215         Pavarde10215        4.08                
Vardas10217         Pavarde10217        2.76                
Vardas10218         Pavarde10218        4.52                
Vardas1022          Pavarde1022         2.8                 
Vardas10221         Pavarde10221        1.76                
Vardas10222         Pavarde10222        2.72                
Vardas10223         Pavarde10223        1.88                
Vardas10224         Pavarde10224        2.6                 
Vardas10225         Pavarde10225        1.92                
Vardas10230         Pavarde10230        3.32                
Vardas10232         Pavarde10232        3.52                
Vardas10233         Pavarde10233        4.92                
Vardas10237         Pavarde10237        4.04                
Vardas10238         Pavarde10238        3.2                 
Vardas10239         Pavarde10239        3.88                
Vardas10241         Pavarde10241        3.12                
Vardas10242         Pavarde10242        4.44                
Vardas10244         Pavarde10244        3.08                
Vardas10245         Pavarde10245        1.92                
Vardas10246         Pavarde10246        3.6                 
Vardas10249         Pavarde10249        3.4                 
Vardas1025          Pavarde1025         3.4                 
Vardas10250         Pavarde10250        3.84                
Vardas10251         Pavarde10251        4.88                
Vardas10253         Pavarde10253        2.6                 
Vardas10254         Pavarde10254        1.72                
Vardas10257         Pavarde10257        2.36                
Vardas10258         Pavarde10258        3.84                
Vardas10261         Pavarde10261        2.64                
Vardas10262         Pavarde10262        4.76                
Vardas10268         Pavarde10268        4.84                
Vardas10269         Pavarde10269        2.12                
Vardas1027          Pavarde1027         4.72                
Vardas10270         Pavarde10270        2                   
Vardas10271         Pavarde10271        4.48                
Vardas10272         Pavarde10272        2.12                
Vardas10273         Pavarde10273        3.88                
Vardas10276         Pavarde10276        3.04                
Vardas10279         Pavarde10279        1.76                
Vardas10280         Pavarde10280        1.52                
Vardas10282         Pavarde10282        3.04                
Vardas10283         Pavarde10283        3.04                
Vardas10284         Pavarde10284        2.28                
Vardas10285         Pavarde10285        2.56                
Vardas10287         Pavarde10287        2.56                
Vardas10292         Pavarde10292        4.28                
Vardas10294         Pavarde10294        2.72                
Vardas10295         Pavarde10295        2.72                
Vardas10296         Pavarde10296        3.12                
Vardas10299         Pavarde10299        1.76                
Vardas1030          Pavarde1030         4.56                
Vardas10303         Pavarde10303        4.36                
Vardas10304         Pavarde10304        4.8                 
Vardas10305         Pavarde10305        3.6                 
Vardas10307         Pavarde10307        3.72                
Vardas10309         Pavarde10309        2.44                
Vardas10311         Pavarde10311        4.12                
Vardas10313         Pavarde10313        2.88                
Vardas10315         Pavarde10315        4.88                
Vardas10317         Pavarde10317        2.04                
Vardas10318         Pavarde10318        2                   
Vardas1032          Pavarde1032         3.44                
Vardas10321         Pavarde10321        3.68                
Vardas10324         Pavarde10324        4.96                
Vardas10326         Pavarde10326        1.6                 
Vardas1033          Pavarde1033         2.64                
Vardas10330         Pavarde10330        3.72                
Vardas10331         Pavarde10331        4.64                
Vardas10332         Pavarde10332        1.8                 
Vardas10334         Pavarde10334        4.72                
Vardas10336         Pavarde10336        2.48                
Vardas1034          Pavarde1034         4.28                
Vardas10341         Pavarde10341        3.12                
Vardas10342         Pavarde10342        4.24                
Vardas10343         Pavarde10343        3.8                 
Vardas10344         Pavarde10344        2.92                
Vardas10345         Pavarde10345        3.76                
Vardas10346         Pavarde10346        2.04                
Vardas10348         Pavarde10348        4.96                
Vardas10349         Pavarde10349        4.2                 
Vardas10354         Pavarde10354        4.6                 
Vardas10357         Pavarde10357        3                   
Vardas10359         Pavarde10359        4.64                
Vardas10360         Pavarde10360        1.76                
Vardas10363         Pavarde10363        3.36                
Vardas10365         Pavarde10365        3.76                
Vardas10367         Pavarde10367        2.6                 
Vardas10368         Pavarde10368        4.84                
Vardas1037          Pavarde1037         2.92                
Vardas10370         Pavarde10370        2.16                
Vardas10371         Pavarde10371        2                   
Vardas10373         Pavarde10373        4.28                
Vardas10374         Pavarde10374        2.28                
Vardas10376         Pavarde10376        2.2                 
Vardas10377         Pavarde10377        3.6                 
Vardas10378         Pavarde10378        2.6                 
Vardas10379         Pavarde10379        4.84                
Vardas1038          Pavarde1038         4.88                
Vardas10384         Pavarde10384        3.64                
Vardas10389         Pavarde10389        3.4                 
Vardas1039          Pavarde1039         2.48                
Vardas10390         Pavarde10390        3.36                
Vardas10393         Pavarde10393        2.92                
Vardas10394         Pavarde10394        4.08                
Vardas10397         Pavarde10397        4.24                
Vardas10399         Pavarde10399        3.24                
Vardas1040          Pavarde1040         4.4                 
Vardas10400         Pavarde10400        3.96                
Vardas10402         Pavarde10402        4.16                
Vardas10403         Pavarde10403        3.56                
Vardas10404         Pavarde10404        3.12                
Vardas10406         Pavarde10406        3.16                
Vardas10407         Pavarde10407        4.96                
Vardas10409         Pavarde10409        4.88                
Vardas1041          Pavarde1041         3.96                
Vardas10410         Pavarde10410        3.56                
Vardas10411         Pavarde10411        2.96                
Vardas10414         Pavarde10414        1.8                 
Vardas10416         Pavarde10416        3.72                
Vardas1042          Pavarde1042         3.48                
Vardas10420         Pavarde10420        4.48                
Vardas10421         Pavarde10421        2.28                
Vardas10422         Pavarde10422        3.32                
Vardas10423         Pavarde10423        4.88                
Vardas10426         Pavarde10426        2                   
Vardas10428         Pavarde10428        3.88                
Vardas10429         Pavarde10429        2.04                
Vardas10431         Pavarde10431        2.88                
Vardas10432         Pavarde10432        3.72                
Vardas10438         Pavarde10438        1.6                 
Vardas1044          Pavarde1044         1.88                
Vardas10440         Pavarde10440        2.28                
Vardas10441         Pavarde10441        4.6                 
Vardas10442         Pavarde10442        3.56                
Vardas10445         Pavarde10445        4.48                
Vardas10446         Pavarde10446        4.56                
Vardas10449         Pavarde10449        3.08                
Vardas10453         Pavarde10453        4.2                 
Vardas10454         Pavarde10454        4.32                
Vardas10455         Pavarde10455        3.16                
Vardas10459         Pavarde10459        4.44                
Vardas1046          Pavarde1046         2.56                
Vardas10464         Pavarde10464        2                   
Vardas10465         Pavarde10465        2.28                
Vardas10472         Pavarde10472        3.8                 
Vardas10473         Pavarde10473        2.72                
Vardas10474         Pavarde10474        2.32                
Vardas10477         Pavarde10477        2.2                 
Vardas10480         Pavarde10480        3.08                
Vardas10482         Pavarde10482        2.68                
Vardas10486         Pavarde10486        4.32                
Vardas10487         Pavarde10487        2.68                
Vardas10489         Pavarde10489        2.44                
Vardas1049          Pavarde1049         3.72                
Vardas10491         Pavarde10491        3.44                
Vardas10492         Pavarde10492        4.04                
Vardas10495         Pavarde10495        4.72                
Vardas10496         Pavarde10496        3.64                
Vardas10497         Pavarde10497        1.76                
Vardas10498         Pavarde10498        3.8                 
Vardas10499         Pavarde10499        3.84                
Vardas105           Pavarde105          2.16                
Vardas10500         Pavarde10500        4.68                
Vardas10501         Pavarde10501        3.8                 
Vardas10503         Pavarde10503        2.68                
Vardas10504         Pavarde10504        2.6                 
Vardas10505         Pavarde10505        1.92                
Vardas10507         Pavarde10507        3.88                
Vardas10508         Pavarde10508        4.24                
Vardas1051          Pavarde1051         4.12                
Vardas10510         Pavarde10510        1.84                
Vardas10511         Pavarde10511        4.64                
Vardas10512         Pavarde10512        3.04                
Vardas10513         Pavarde10513        4.24                
Vardas10515         Pavarde10515        2.24                
Vardas1052          Pavarde1052         3.92                
Vardas10520         Pavarde10520        2.32                
Vardas10521         Pavarde10521        3.24                
Vardas10527         Pavarde10527        4.4                 
Vardas10529         Pavarde10529        1.92                
Vardas10531         Pavarde10531        4.8                 
Vardas10532         Pavarde10532        3.2                 
Vardas10534         Pavarde10534        3.04                
Vardas10536         Pavarde10536        4.24                
Vardas10538         Pavarde10538        3.16                
Vardas10539         Pavarde10539        4.12                
Vardas1054          Pavarde1054         4.44                
Vardas10540         Pavarde10540        3.8                 
Vardas10543         Pavarde10543        4.44                
Vardas10544         Pavarde10544        3.48                
Vardas10545         Pavarde10545        2.28                
Vardas10547         Pavarde10547        3.64                
Vardas10548         Pavarde10548        3.56                
Vardas1055          Pavarde1055         2                   
Vardas10551         Pavarde10551        4.12                
Vardas10552         Pavarde10552        3.2                 
Vardas10553         Pavarde10553        3.76                
Vardas10554         Pavarde10554        4.96                
Vardas10556         Pavarde10556        4.68                
Vardas10557         Pavarde10557        2.92                
Vardas10558         Pavarde10558        4.32                
Vardas10559         Pavarde10559        3.36                
Vardas1056          Pavarde1056         4.2                 
Vardas10561         Pavarde10561        4                   
Vardas10562         Pavarde10562        3.96                
Vardas10565         Pavarde10565        3.12                
Vardas10566         Pavarde10566        3.44                
Vardas10568         Pavarde10568        3                   
Vardas10569         Pavarde10569        4.44                
Vardas1057          Pavarde1057         4.56                
Vardas10571         Pavarde10571        3.08                
Vardas10572         Pavarde10572        3.52                
Vardas10574         Pavarde10574        3.44                
Vardas10575         Pavarde10575        2.28                
Vardas10577         Pavarde10577        4.56                
Vardas10579         Pavarde10579        2.92                
Vardas1058          Pavarde1058         4.92                
Vardas10580         Pavarde10580        3.84                
Vardas10581         Pavarde10581        1.96                
Vardas10584         Pavarde10584        2.4                 
Vardas10586         Pavarde10586        3.36                
Vardas10587         Pavarde10587        1.8                 
Vardas10588         Pavarde10588        4.76                
Vardas10589         Pavarde10589        3.24                
Vardas10590         Pavarde10590        4.44                
Vardas10592         Pavarde10592        2.68                
Vardas10594         Pavarde10594        2.16                
Vardas10595         Pavarde10595        2.6                 
Vardas10596         Pavarde10596        1.88                
Vardas1060          Pavarde1060         4.92                
Vardas10602         Pavarde10602        3.24                
Vardas10604         Pavarde10604        1.64                
Vardas10610         Pavarde10610        1.2                 
Vardas10619         Pavarde10619        2.72                
Vardas10621         Pavarde10621        3.36                
Vardas10622         Pavarde10622        2.6                 
Vardas10624         Pavarde10624        3.88                
Vardas10625         Pavarde10625        2.88                
Vardas10626         Pavarde10626        3.72                
Vardas10629         Pavarde10629        1.8                 
Vardas1063          Pavarde1063         1.44                
Vardas10630         Pavarde10630        2.08                
Vardas10631         Pavarde10631        4.32                
Vardas10633         Pavarde10633        4.92                
Vardas10635         Pavarde10635        2.92                
Vardas10640         Pavarde10640        3.72                
Vardas10642         Pavarde10642        4.84                
Vardas10644         Pavarde10644        3.92                
Vardas10645         Pavarde10645        2.48                
Vardas10646         Pavarde10646        1.72                
Vardas10647         Pavarde10647        4.8                 
Vardas1065          Pavarde1065         1.76                
Vardas10652         Pavarde10652        4.92                
Vardas10654         Pavarde10654        3.44                
Vardas10655         Pavarde10655        3.68                
Vardas10658         Pavarde10658        1.92                
Vardas1066          Pavarde1066         2.6                 
Vardas10661         Pavarde10661        2.72                
Vardas10662         Pavarde10662        3.68                
Vardas10663         Pavarde10663        2.32                
Vardas10667         Pavarde10667        3.6                 
Vardas10668         Pavarde10668        2.24                
Vardas10669         Pavarde10669        4.16                
Vardas1067          Pavarde1067         2.4                 
Vardas10671         Pavarde10671        3.68                
Vardas10672         Pavarde10672        1.84                
Vardas10674         Pavarde10674        3.88                
Vardas10675         Pavarde10675        2.04                
Vardas10676         Pavarde10676        3.12                
Vardas10678         Pavarde10678        4.88                
Vardas10682         Pavarde10682        3.16                
Vardas10683         Pavarde10683        4.84                
Vardas10688         Pavarde10688        3.24                
Vardas10690         Pavarde10690        4.76                
Vardas10693         Pavarde10693        4.72                
Vardas10695         Pavarde10695        4.4                 
Vardas10696         Pavarde10696        4.24                
Vardas10697         Pavarde10697        2.16                
Vardas1070          Pavarde1070         2.6                 
Vardas10700         Pavarde10700        4.64                
Vardas10701         Pavarde10701        4.72                
Vardas10702         Pavarde10702        4.68                
Vardas10704         Pavarde10704        2.48                
Vardas10705         Pavarde10705        4.96                
Vardas10708         Pavarde10708        4.24                
Vardas10711         Pavarde10711        3.64                
Vardas10714         Pavarde10714        2.04                
Vardas10717         Pavarde10717        2.24                
Vardas10718         Pavarde10718        4.52                
Vardas10720         Pavarde10720        3.08                
Vardas10723         Pavarde10723        3.2                 
Vardas10724         Pavarde10724        3.64                
Vardas10728         Pavarde10728        3.72                
Vardas10729         Pavarde10729        3.56                
Vardas10730         Pavarde10730        3.96                
Vardas10731         Pavarde10731        2.48                
Vardas10733         Pavarde10733        2.4                 
Vardas10734         Pavarde10734        2.28                
Vardas10735         Pavarde10735        2.8                 
Vardas10736         Pavarde10736        4.36                
Vardas10738         Pavarde10738        1.96                
Vardas10739         Pavarde10739        4.64                
Vardas10740         Pavarde10740        3.6                 
Vardas10742         Pavarde10742        2.28                
Vardas10744         Pavarde10744        2.16                
Vardas10745         Pavarde10745        1.76                
Vardas10747         Pavarde10747        3.8                 
Vardas10749         Pavarde10749        1.64                
Vardas1075          Pavarde1075         4.08                
Vardas10753         Pavarde10753        3.8                 
Vardas10754         Pavarde10754        3.96                
Vardas10755         Pavarde10755        4.2                 
Vardas10757         Pavarde10757        4.28                
Vardas10758         Pavarde10758        2.48                
Vardas10759         Pavarde10759        3.24                
Vardas1076          Pavarde1076         3.96                
Vardas10761         Pavarde10761        2.68                
Vardas1077          Pavarde1077         2.84                
Vardas10771         Pavarde10771        4.84                
Vardas10776         Pavarde10776        2.88                
Vardas10777         Pavarde10777        2.08                
Vardas10780         Pavarde10780        4                   
Vardas10781         Pavarde10781        2.04                
Vardas10784         Pavarde10784        3.84                
Vardas10789         Pavarde10789        2.24                
Vardas1079          Pavarde1079         2.32                
Vardas10791         Pavarde10791        2.44                
Vardas10792         Pavarde10792        4.92                
Vardas10793         Pavarde10793        4.16                
Vardas10795         Pavarde10795        2.04                
Vardas10797         Pavarde10797        1.64                
Vardas10798         Pavarde10798        4.48                
Vardas108           Pavarde108          2.32                
Vardas1080          Pavarde1080         4.24                
Vardas10804         Pavarde10804        2.72                
Vardas10806         Pavarde10806        3.64                
Vardas10809         Pavarde10809        4.64                
Vardas10810         Pavarde10810        2.68                
Vardas10815         Pavarde10815        4.8                 
Vardas10816         Pavarde10816        3.52                
Vardas10818         Pavarde10818        4.88                
Vardas10820         Pavarde10820        3.6                 
Vardas10821         Pavarde10821        2.32                
Vardas10823         Pavarde10823        2.08                
Vardas10825         Pavarde10825        1.76                
Vardas10827         Pavarde10827        3.6                 
Vardas10829         Pavarde10829        3.64                
Vardas1083          Pavarde1083         2.4                 
Vardas10830         Pavarde10830        3                   
Vardas10831         Pavarde10831        2.96                
Vardas10832         Pavarde10832        3.56                
Vardas10834         Pavarde10834        4.84                
Vardas10835         Pavarde10835        1.76                
Vardas10840         Pavarde10840        3.12                
Vardas10841         Pavarde10841        2.68                
Vardas10849         Pavarde10849        3.48                
Vardas10850         Pavarde10850        3.72                
Vardas10851         Pavarde10851        4.28                
Vardas10854         Pavarde10854        3.16                
Vardas10855         Pavarde10855        1.44                
Vardas10857         Pavarde10857        3.36                
Vardas10859         Pavarde10859        4                   
Vardas1086          Pavarde1086         4.92                
Vardas10861         Pavarde10861        4.16                
Vardas10863         Pavarde10863        2.16                
Vardas10868         Pavarde10868        4.76                
Vardas10870         Pavarde10870        3.52                
Vardas10873         Pavarde10873        3.04                
Vardas10876         Pavarde10876        3.04                
Vardas10879         Pavarde10879        2.68                
Vardas10880         Pavarde10880        3.08                
Vardas10881         Pavarde10881        2.32                
Vardas10882         Pavarde10882        1.96                
Vardas10884         Pavarde10884        4.52                
Vardas10885         Pavarde10885        4                   
Vardas10886         Pavarde10886        4.6                 
Vardas10887         Pavarde10887        4.8                 
Vardas10888         Pavarde10888        2.64                
Vardas10889         Pavarde10889        3.2                 
Vardas1089          Pavarde1089         3.48                
Vardas10890         Pavarde10890        3.28                
Vardas10892         Pavarde10892        2.36                
Vardas10895         Pavarde10895        4.32                
Vardas10897         Pavarde10897        2.32                
Vardas10898         Pavarde10898        3.48                
Vardas10902         Pavarde10902        3.84                
Vardas10905         Pavarde10905        4.12                
Vardas10907         Pavarde10907        2.84                
Vardas1091          Pavarde1091         1.52                
Vardas10912         Pavarde10912        4.88                
Vardas10913         Pavarde10913        3                   
Vardas10914         Pavarde10914        1.8                 
Vardas10916         Pavarde10916        4.56                
Vardas10918         Pavarde10918        2.72                
Vardas1092          Pavarde1092         4.76                
Vardas10921         Pavarde10921        4.12                
Vardas10924         Pavarde10924        4.4                 
Vardas10925         Pavarde10925        2.4                 
Vardas10929         Pavarde10929        3.68                
Vardas1093          Pavarde1093         4.44                
Vardas10930         Pavarde10930        2.6                 
Vardas10931         Pavarde10931        3.2                 
Vardas10932         Pavarde10932        2.08                
Vardas10933         Pavarde10933        3.92                
Vardas10934         Pavarde10934        2.92                
Vardas10938         Pavarde10938        4.2                 
Vardas1094          Pavarde1094         3.24                
Vardas10942         Pavarde10942        2.08                
Vardas10946         Pavarde10946        4.12                
Vardas10947         Pavarde10947        2.56                
Vardas10949         Pavarde10949        1.8                 
Vardas10951         Pavarde10951        2.96                
Vardas10952         Pavarde10952        4.6                 
Vardas10953         Pavarde10953        3.12                
Vardas10954         Pavarde10954        4.92                
Vardas10956         Pavarde10956        3.24                
Vardas10959         Pavarde10959        4.4                 
Vardas1096          Pavarde1096         3.6                 
Vardas10962         Pavarde10962        1.84                
Vardas10966         Pavarde10966        4.76                
Vardas10967         Pavarde10967        2.12                
Vardas10968         Pavarde10968        4.04                
Vardas10969         Pavarde10969        4.6                 
Vardas1097          Pavarde1097         2.72                
Vardas10974         Pavarde10974        3.6                 
Vardas10975         Pavarde10975        2.6                 
Vardas10978         Pavarde10978        2.88                
Vardas10979         Pavarde10979        3.68                
Vardas10980         Pavarde10980        4.52                
Vardas10985         Pavarde10985        4.16                
Vardas10987         Pavarde10987        4.6                 
Vardas10989         Pavarde10989        1.4                 
Vardas10991         Pavarde10991        3.84                
Vardas10994         Pavarde10994        2.84                
Vardas10995         Pavarde10995        3.24                
Vardas10996         Pavarde10996        1.92                
Vardas10999         Pavarde10999        4.28                
Vardas1100          Pavarde1100         3.88                
Vardas11004         Pavarde11004        2.24                
Vardas11007         Pavarde11007        2.08                
Vardas11009         Pavarde11009        4.28                
Vardas11010         Pavarde11010        2.4                 
Vardas11011         Pavarde11011        2.32                
Vardas11013         Pavarde11013        1.52                
Vardas11015         Pavarde11015        4.8                 
Vardas11016         Pavarde11016        2.72                
Vardas11017         Pavarde11017        4.8                 
Vardas11018         Pavarde11018        3.08                
Vardas11019         Pavarde11019        2.16                
Vardas1102          Pavarde1102         2.24                
Vardas11020         Pavarde11020        4.64                
Vardas11021         Pavarde11021        4.12                
Vardas11022         Pavarde11022        4.28                
Vardas11026         Pavarde11026        2.84                
Vardas11027         Pavarde11027        2.88                
Vardas11032         Pavarde11032        2.64                
Vardas11033         Pavarde11033        2.32                
Vardas11038         Pavarde11038        2.2                 
Vardas1104          Pavarde1104         2.2                 
Vardas11040         Pavarde11040        2.88                
Vardas11041         Pavarde11041        3.12                
Vardas11042         Pavarde11042        3.2                 
Vardas11046         Pavarde11046        4.32                
Vardas11047         Pavarde11047        3.4                 
Vardas11051         Pavarde11051        2.44                
Vardas11055         Pavarde11055        4.76                
Vardas11056         Pavarde11056        3.76                
Vardas11057         Pavarde11057        1.28                
Vardas1106          Pavarde1106         3.24                
Vardas11060         Pavarde11060        4.88                
Vardas11061         Pavarde11061        3.72                
Vardas11062         Pavarde11062        4.72                
Vardas11063         Pavarde11063        1.8                 
Vardas11065         Pavarde11065        1.88                
Vardas11066         Pavarde11066        2.44                
Vardas11067         Pavarde11067        2.08                
Vardas11068         Pavarde11068        3.68                
Vardas11070         Pavarde11070        2.48                
Vardas11073         Pavarde11073        2.64                
Vardas11076         Pavarde11076        4                   
Vardas11077         Pavarde11077        2.48                
Vardas1108          Pavarde1108         4.64                
Vardas11080         Pavarde11080        3.96                
Vardas11081         Pavarde11081        1.96                
Vardas11083         Pavarde11083        2.24                
Vardas11084         Pavarde11084        2.88                
Vardas11088         Pavarde11088        3.04                
Vardas11089         Pavarde11089        3.52                
Vardas1109          Pavarde1109         4.2                 
Vardas11090         Pavarde11090        2.04                
Vardas11091         Pavarde11091        1.88                
Vardas11092         Pavarde11092        3.08                
Vardas11094         Pavarde11094        2.6                 
Vardas11096         Pavarde11096        3.68                
Vardas11097         Pavarde11097        2.16                
Vardas11099         Pavarde11099        4                   
Vardas11100         Pavarde11100        4.52                
Vardas11102         Pavarde11102        3.72                
Vardas11103         Pavarde11103        3.44                
Vardas11104         Pavarde11104        2.56                
Vardas11105         Pavarde11105        3.52                
Vardas11106         Pavarde11106        4.4                 
Vardas11107         Pavarde11107        1.56                
Vardas11109         Pavarde11109        3.84                
Vardas11111         Pavarde11111        4.32                
Vardas11114         Pavarde11114        3.2                 
Vardas11116         Pavarde11116        4.92                
Vardas11119         Pavarde11119        2.96                
Vardas11120         Pavarde11120        2.64                
Vardas11121         Pavarde11121        4.92                
Vardas11123         Pavarde11123        4.88                
Vardas11126         Pavarde11126        4.44                
Vardas11129         Pavarde11129        2.04                
Vardas1113          Pavarde1113         4.72                
Vardas11130         Pavarde11130        3.32                
Vardas11131         Pavarde11131        3.72                
Vardas11133         Pavarde11133        3.16                
Vardas11134         Pavarde11134        3.52                
Vardas11135         Pavarde11135        3.68                
Vardas11139         Pavarde11139        4.24                
Vardas11141         Pavarde11141        3.88                
Vardas11145         Pavarde11145        3.28                
Vardas11146         Pavarde11146        1.8                 
Vardas11148         Pavarde11148        3.04                
Vardas1115          Pavarde1115         4.8                 
Vardas11152         Pavarde11152        2.04                
Vardas11153         Pavarde11153        2.92                
Vardas11154         Pavarde11154        1.72                
Vardas11155         Pavarde11155        1.92                
Vardas11156         Pavarde11156        1.72                
Vardas11158         Pavarde11158        3.36                
Vardas1116          Pavarde1116         2.28                
Vardas11160         Pavarde11160        4.6                 
Vardas11161         Pavarde11161        1.36                
Vardas11164         Pavarde11164        4.68                
Vardas11165         Pavarde11165        2.96                
Vardas11166         Pavarde11166        2.68                
Vardas11168         Pavarde11168        4.96                
Vardas11169         Pavarde11169        4.72                
Vardas1117          Pavarde1117         4.6                 
Vardas11170         Pavarde11170        1.28                
Vardas11171         Pavarde11171        2.92                
Vardas11174         Pavarde11174        2.76                
Vardas11175         Pavarde11175        2.64                
Vardas11179         Pavarde11179        4.48                
Vardas11180         Pavarde11180        4.96                
Vardas11182         Pavarde11182        4.52                
Vardas11183         Pavarde11183        1.8                 
Vardas11184         Pavarde11184        4.6                 
Vardas11185         Pavarde11185        1.76                
Vardas11186         Pavarde11186        2.76                
Vardas11188         Pavarde11188        4.16                
Vardas11189         Pavarde11189        3.72                
Vardas11193         Pavarde11193        4.84                
Vardas11196         Pavarde11196        1.2                 
Vardas11197         Pavarde11197        2.4                 
Vardas11198         Pavarde11198        2.68                
Vardas112           Pavarde112          4.48                
Vardas1120          Pavarde1120         3.08                
Vardas11201         Pavarde11201        3                   
Vardas11204         Pavarde11204        3.28                
Vardas11205         Pavarde11205        4                   
Vardas11208         Pavarde11208        2.52                
Vardas1121          Pavarde1121         2.2                 
Vardas11210         Pavarde11210        3.68                
Vardas11211         Pavarde11211        3.72                
Vardas11212         Pavarde11212        3.76                
Vardas11213         Pavarde11213        4.6                 
Vardas11219         Pavarde11219        2.44                
